date,idx
2014-01-02,12724.76
2014-01-03,12627.25
2014-01-06,12558.51
2014-01-07,12576.67
2014-01-08,12641.24
2014-01-09,12580.19
2014-01-10,12601.86
2014-01-13,12656.3
2014-01-14,12629.61
2014-01-15,12710.01
2014-01-16,12724.13
2014-01-17,12700.33
2014-01-20,12738.09
2014-01-21,12706.1
2014-01-22,12743.62
2014-01-23,12698.99
2014-01-24,12703.74
2014-01-27,12503.19
2014-02-05,12210.52
2014-02-06,12279.27
2014-02-07,12392.05
2014-02-10,12398.85
2014-02-11,12455.9
2014-02-12,12574.55
2014-02-13,12510.77
2014-02-14,12578.7
2014-02-17,12587.38
2014-02-18,12641.57
2014-02-19,12672.27
2014-02-20,12594.87
2014-02-21,12708.98
2014-02-24,12648.05
2014-02-25,12670.22
2014-02-26,12707.52
2014-02-27,12764.71
2014-03-03,12709.17
2014-03-04,12639.07
2014-03-05,12754.9
2014-03-06,12874.36
2014-03-07,12874.61
2014-03-10,12802.63
2014-03-11,12857.42
2014-03-12,12831.42
2014-03-13,12924.6
2014-03-14,12835.7
2014-03-17,12854.13
2014-03-18,12901.18
2014-03-19,12838.42
2014-03-20,12702.29
2014-03-21,12672.52
2014-03-24,12714.19
2014-03-25,12838.18
2014-03-26,12909.05
2014-03-27,12971.54
2014-03-28,12964.26
2014-03-31,13074.55
2014-04-01,13109.8
2014-04-02,13157.54
2014-04-03,13132.55
2014-04-07,13114.68
2014-04-08,13132.12
2014-04-09,13194.65
2014-04-10,13220.54
2014-04-11,13161.37
2014-04-14,13086.56
2014-04-15,13174.17
2014-04-16,13184.68
2014-04-17,13214.73
2014-04-18,13247.97
2014-04-21,13225.12
2014-04-22,13259.86
2014-04-23,13233.58
2014-04-24,13216.64
2014-04-25,12963.49
2014-04-28,13016.08
2014-04-29,13108.27
2014-04-30,12989.08
2014-05-02,13101.2
2014-05-05,13105.79
2014-05-06,13168.26
2014-05-07,13139.93
2014-05-08,13195.79
2014-05-09,13134.9
2014-05-12,13015.09
2014-05-13,13028.88
2014-05-14,13113.43
2014-05-15,13121.71
2014-05-16,13133.24
2014-05-19,13150.15
2014-05-20,13132.26
2014-05-21,13095.15
2014-05-22,13253.58
2014-05-23,13310.6
2014-05-26,13351.82
2014-05-27,13380.3
2014-05-28,13478.45
2014-05-29,13459.67
2014-05-30,13410.77
2014-06-03,13481.03
2014-06-04,13475.99
2014-06-05,13506.67
2014-06-06,13497.41
2014-06-09,13539.2
2014-06-10,13627.81
2014-06-11,13638.78
2014-06-12,13601.71
2014-06-13,13589.51
2014-06-16,13599.18
2014-06-17,13655.75
2014-06-18,13715.55
2014-06-19,13770.13
2014-06-20,13706.67
2014-06-23,13647.54
2014-06-24,13683.8
2014-06-25,13677.97
2014-06-26,13799.93
2014-06-27,13789.21
2014-06-30,13919.39
2014-07-01,14008.09
2014-07-02,14073.18
2014-07-03,14150.71
2014-07-04,14147.69
2014-07-07,14167.45
2014-07-08,14187.05
2014-07-09,14143.48
2014-07-10,14265.25
2014-07-11,14164.84
2014-07-14,14248.39
2014-07-15,14324.83
2014-07-16,14217.5
2014-07-17,14131.31
2014-07-18,14123.25
2014-07-21,14185.04
2014-07-22,14275.64
2014-07-24,14332.24
2014-07-25,14205.41
2014-07-28,14179.32
2014-07-29,14143.74
2014-07-30,14233.38
2014-07-31,14045.85
2014-08-01,13981.9
2014-08-04,14080.22
2014-08-05,13799.12
2014-08-06,13810.94
2014-08-07,13802.59
2014-08-08,13734.72
2014-08-11,13877.16
2014-08-12,13863.92
2014-08-13,13981.02
2014-08-14,13994.5
2014-08-15,13958.89
2014-08-18,13860.15
2014-08-19,14021.51
2014-08-20,14089.9
2014-08-21,14042.36
2014-08-22,14235.45
2014-08-25,14255.34
2014-08-26,14263.04
2014-08-27,14404.3
2014-08-28,14417.62
2014-08-29,14355.86
2014-09-01,14473.43
2014-09-02,14303.09
2014-09-03,14380.67
2014-09-04,14348.55
2014-09-05,14320.25
2014-09-09,14361.1
2014-09-10,14243.68
2014-09-11,14190.93
2014-09-12,14040.06
2014-09-15,14031.35
2014-09-16,13903.39
2014-09-17,13999.46
2014-09-18,14063.2
2014-09-19,14068.41
2014-09-22,13907.34
2014-09-23,13831.59
2014-09-24,13852.97
2014-09-25,13720.67
2014-09-26,13687.59
2014-09-29,13643.44
2014-09-30,13652.82
2014-10-01,13688.43
2014-10-02,13665.49
2014-10-03,13865.1
2014-10-06,13848.15
2014-10-07,13765.43
2014-10-08,13635.06
2014-10-09,13652.2
2014-10-13,13263.86
2014-10-14,13351.45
2014-10-15,13179.56
2014-10-16,13146.35
2014-10-17,12962.43
2014-10-20,13191.22
2014-10-21,13178.29
2014-10-22,13321.71
2014-10-23,13294.67
2014-10-24,13165.15
2014-10-27,13137.39
2014-10-28,13359.35
2014-10-29,13557.61
2014-10-30,13533.83
2014-10-31,13666.06
2014-11-03,13711.89
2014-11-04,13688.01
2014-11-05,13647.54
2014-11-06,13538.54
2014-11-07,13571.43
2014-11-10,13780.59
2014-11-11,13756.52
2014-11-12,13581.11
2014-11-13,13675.1
2014-11-14,13678.46
2014-11-17,13528.49
2014-11-18,13489.93
2014-11-19,13648.55
2014-11-20,13824.62
2014-11-21,13843.91
2014-11-24,13890.8
2014-11-25,13881.53
2014-11-26,13890.9
2014-11-27,13956.24
2014-11-28,13989.51
2014-12-01,13883.77
2014-12-02,13757.5
2014-12-03,13971.4
2014-12-04,14047.32
2014-12-05,14019.08
2014-12-08,13989.72
2014-12-09,13900.81
2014-12-10,13753.49
2014-12-11,13724.43
2014-12-12,13746.14
2014-12-15,13682.65
2014-12-16,13629.79
2014-12-17,13443.16
2014-12-18,13519.71
2014-12-19,13703.79
2014-12-22,13849.19
2014-12-23,13853.31
2014-12-24,13988.02
2014-12-25,13946.19
2014-12-26,14030.5
2014-12-27,14037.24
2014-12-29,14140.45
2014-12-30,14113.28
2014-12-31,14172.4
2015-01-05,14121.92
2015-01-06,13778.14
2015-01-07,13826.48
2015-01-08,14066.99
2015-01-09,14032.8
2015-01-12,13976.03
2015-01-13,14057.49
2015-01-14,13978.97
2015-01-15,13955.91
2015-01-16,13915.11
2015-01-19,13969.58
2015-01-20,14087.79
2015-01-21,14191.36
2015-01-22,14267.19
2015-01-23,14421.64
2015-01-26,14431.89
2015-01-27,14498.77
2015-01-28,14482.51
2015-01-29,14354.58
2015-01-30,14255.62
2015-02-02,14293.82
2015-02-03,14387.81
2015-02-04,14487.09
2015-02-05,14484.24
2015-02-06,14399.17
2015-02-09,14346.36
2015-02-10,14304.03
