date,idx
2014-01-02,8612.54
2014-01-03,8546.54
2014-01-06,8500.01
2014-01-07,8512.3
2014-01-08,8556.01
2014-01-09,8514.68
2014-01-10,8529.35
2014-01-13,8566.2
2014-01-14,8548.14
2014-01-15,8602.55
2014-01-16,8612.11
2014-01-17,8596.0
2014-01-20,8621.56
2014-01-21,8599.9
2014-01-22,8625.3
2014-01-23,8595.1
2014-01-24,8598.31
2014-01-27,8462.57
2014-02-05,8264.48
2014-02-06,8311.01
2014-02-07,8387.35
2014-02-10,8391.95
2014-02-11,8430.56
2014-02-12,8510.87
2014-02-13,8467.7
2014-02-14,8513.68
2014-02-17,8519.55
2014-02-18,8556.23
2014-02-19,8577.01
2014-02-20,8524.62
2014-02-21,8601.86
2014-02-24,8560.61
2014-02-25,8575.62
2014-02-26,8600.86
2014-02-27,8639.58
2014-03-03,8601.98
2014-03-04,8554.54
2014-03-05,8632.93
2014-03-06,8713.79
2014-03-07,8713.96
2014-03-10,8665.24
2014-03-11,8702.33
2014-03-12,8684.73
2014-03-13,8747.79
2014-03-14,8687.63
2014-03-17,8700.1
2014-03-18,8731.94
2014-03-19,8689.46
2014-03-20,8597.33
2014-03-21,8577.17
2014-03-24,8605.38
2014-03-25,8689.3
2014-03-26,8737.27
2014-03-27,8779.57
2014-03-28,8774.64
2014-03-31,8849.28
2014-04-01,8873.15
2014-04-02,8905.45
2014-04-03,8888.54
2014-04-07,8876.44
2014-04-08,8888.25
2014-04-09,8930.57
2014-04-10,8948.1
2014-04-11,8908.05
2014-04-14,8857.42
2014-04-15,8916.71
2014-04-16,8923.82
2014-04-17,8944.16
2014-04-18,8966.66
2014-04-21,8951.19
2014-04-22,8974.71
2014-04-23,8956.92
2014-04-24,8945.45
2014-04-25,8774.12
2014-04-28,8809.71
2014-04-29,8872.11
2014-04-30,8791.44
2014-05-02,8867.32
2014-05-05,8870.43
2014-05-06,8912.39
2014-05-07,8893.22
2014-05-08,8930.9
2014-05-09,8889.69
2014-05-12,8808.61
2014-05-13,8817.94
2014-05-14,8875.16
2014-05-15,8880.65
2014-05-16,8888.45
2014-05-19,8899.9
2014-05-20,8887.79
2014-05-21,8862.42
2014-05-22,8969.63
2014-05-23,9008.22
2014-05-26,9036.12
2014-05-27,9055.29
2014-05-28,9121.71
2014-05-29,9109.0
2014-05-30,9075.91
2014-06-03,9123.46
2014-06-04,9119.96
2014-06-05,9140.72
2014-06-06,9134.46
2014-06-09,9162.74
2014-06-10,9222.37
2014-06-11,9229.8
2014-06-12,9204.65
2014-06-13,9196.39
2014-06-16,9202.93
2014-06-17,9240.6
2014-06-18,9279.93
2014-06-19,9316.81
2014-06-20,9273.79
2014-06-23,9228.35
2014-06-24,9246.2
2014-06-25,9242.16
2014-06-26,9320.94
2014-06-27,9306.83
2014-06-30,9393.07
2014-07-01,9441.92
2014-07-02,9484.96
2014-07-03,9526.23
2014-07-04,9510.05
2014-07-07,9520.2
2014-07-08,9530.98
2014-07-09,9489.98
2014-07-10,9565.12
2014-07-11,9495.84
2014-07-14,9520.3
2014-07-15,9569.17
2014-07-16,9484.73
2014-07-17,9408.24
2014-07-18,9400.97
2014-07-21,9440.97
