date,idx
2014-01-02,165.61
2014-01-03,166.05
2014-01-06,165.08
2014-01-07,166.42
2014-01-08,167.07
2014-01-09,165.53
2014-01-10,165.66
2014-01-13,164.78
2014-01-14,164.29
2014-01-15,165.32
2014-01-16,165.58
2014-01-17,165.46
2014-01-20,166.0
2014-01-21,165.49
2014-01-22,166.08
2014-01-23,166.22
2014-01-24,165.38
2014-01-27,163.02
2014-02-05,163.02
2014-02-06,165.77
2014-02-07,167.1
2014-02-10,167.37
2014-02-11,168.79
2014-02-12,170.25
2014-02-13,170.54
2014-02-14,169.86
2014-02-17,170.64
2014-02-18,171.83
2014-02-19,172.96
2014-02-20,172.77
2014-02-21,175.27
2014-02-24,176.12
2014-02-25,177.27
2014-02-26,178.21
2014-02-27,178.82
2014-03-03,179.55
2014-03-04,179.42
2014-03-05,181.8
2014-03-06,184.11
2014-03-07,181.14
2014-03-10,181.28
2014-03-11,183.09
2014-03-12,183.39
2014-03-13,185.28
2014-03-14,185.09
2014-03-17,186.01
2014-03-18,186.9
2014-03-19,184.19
2014-03-20,181.78
2014-03-21,180.43
2014-03-24,178.59
2014-03-25,182.45
2014-03-26,183.16
2014-03-27,183.41
2014-03-28,181.2
2014-03-31,183.09
2014-04-01,184.66
2014-04-02,186.52
2014-04-03,187.01
2014-04-07,186.39
2014-04-08,186.72
2014-04-09,187.52
2014-04-10,186.69
2014-04-11,183.78
2014-04-14,179.28
2014-04-15,181.96
2014-04-16,182.48
2014-04-17,183.84
2014-04-18,184.17
2014-04-21,184.86
2014-04-22,185.53
2014-04-23,184.83
2014-04-24,183.9
2014-04-25,177.85
2014-04-28,178.34
2014-04-29,181.45
2014-04-30,178.21
2014-05-02,180.97
2014-05-05,182.66
2014-05-06,183.94
2014-05-07,184.41
2014-05-08,183.97
2014-05-09,181.75
2014-05-12,179.52
2014-05-13,178.1
2014-05-14,178.79
2014-05-15,179.54
2014-05-16,179.61
2014-05-19,181.03
2014-05-20,181.22
2014-05-21,180.75
2014-05-22,183.13
2014-05-23,185.05
2014-05-26,186.71
2014-05-27,188.07
2014-05-28,188.99
2014-05-29,189.02
2014-05-30,189.8
2014-06-03,189.52
2014-06-04,190.34
2014-06-05,191.64
2014-06-06,191.91
2014-06-09,192.63
2014-06-10,192.79
2014-06-11,193.16
2014-06-12,193.0
2014-06-13,193.03
2014-06-16,193.49
2014-06-17,193.97
2014-06-18,191.82
2014-06-19,193.29
2014-06-20,193.57
2014-06-23,190.24
2014-06-24,190.56
2014-06-25,191.82
2014-06-26,193.38
2014-06-27,193.05
2014-06-30,194.92
2014-07-01,195.59
2014-07-02,193.69
2014-07-03,195.5
2014-07-04,194.81
2014-07-07,193.29
2014-07-08,193.77
2014-07-09,194.1
2014-07-10,194.77
2014-07-11,189.62
2014-07-14,191.02
2014-07-15,192.25
2014-07-16,190.31
2014-07-17,189.64
2014-07-18,189.4
2014-07-21,190.44
2014-07-22,191.02
2014-07-24,192.83
2014-07-25,190.99
2014-07-28,187.76
2014-07-29,185.23
2014-07-30,186.21
2014-07-31,186.56
2014-08-01,185.3
2014-08-04,186.9
2014-08-05,185.11
2014-08-06,180.72
2014-08-07,178.13
2014-08-08,177.69
2014-08-11,180.76
2014-08-12,179.55
2014-08-13,180.45
2014-08-14,179.35
2014-08-15,178.0
2014-08-18,174.0
2014-08-19,176.19
2014-08-20,175.05
2014-08-21,174.33
2014-08-22,177.28
2014-08-25,178.7
2014-08-26,180.59
2014-08-27,181.8
2014-08-28,181.55
2014-08-29,182.6
2014-09-01,184.45
2014-09-02,182.94
2014-09-03,182.71
2014-09-04,182.55
2014-09-05,183.33
2014-09-09,183.63
2014-09-10,183.48
2014-09-11,182.43
2014-09-12,180.55
2014-09-15,180.46
2014-09-16,179.72
2014-09-17,181.16
2014-09-18,182.23
2014-09-19,183.88
2014-09-22,182.9
2014-09-23,181.95
2014-09-24,181.6
2014-09-25,179.31
2014-09-26,178.76
2014-09-29,180.65
2014-09-30,180.06
2014-10-01,180.96
2014-10-02,181.68
2014-10-03,183.63
2014-10-06,184.66
2014-10-07,182.58
2014-10-08,180.04
2014-10-09,177.4
2014-10-13,169.59
2014-10-14,170.48
2014-10-15,168.03
2014-10-16,166.96
2014-10-17,163.78
2014-10-20,165.71
2014-10-21,166.64
2014-10-22,167.44
2014-10-23,166.56
2014-10-24,164.66
2014-10-27,159.51
2014-10-28,162.91
2014-10-29,166.41
2014-10-30,166.31
2014-10-31,167.95
2014-11-03,170.35
2014-11-04,170.8
2014-11-05,170.3
2014-11-06,167.09
2014-11-07,168.79
2014-11-10,168.98
2014-11-11,169.71
2014-11-12,168.35
2014-11-13,168.84
2014-11-14,168.92
2014-11-17,166.82
2014-11-18,164.08
2014-11-19,165.06
2014-11-20,168.04
2014-11-21,168.43
2014-11-24,168.72
2014-11-25,170.04
2014-11-26,170.63
2014-11-27,170.12
2014-11-28,169.77
2014-12-01,170.93
2014-12-02,172.23
2014-12-03,176.11
2014-12-04,176.57
2014-12-05,178.03
2014-12-08,178.82
2014-12-09,177.49
2014-12-10,176.86
2014-12-11,177.15
2014-12-12,178.41
2014-12-15,178.41
2014-12-16,177.1
2014-12-17,176.13
2014-12-18,176.36
2014-12-19,174.54
2014-12-22,177.07
2014-12-23,177.48
2014-12-24,178.71
2014-12-25,178.48
2014-12-26,179.9
2014-12-27,181.17
2014-12-29,181.32
2014-12-30,181.46
2014-12-31,182.48
2015-01-05,182.84
2015-01-06,179.74
2015-01-07,179.7
2015-01-08,180.34
2015-01-09,180.66
2015-01-12,179.77
2015-01-13,180.37
2015-01-14,181.11
2015-01-15,180.61
2015-01-16,177.98
2015-01-19,177.33
2015-01-20,179.76
2015-01-21,179.59
2015-01-22,180.86
2015-01-23,181.24
2015-01-26,180.81
2015-01-27,181.79
2015-01-28,181.57
2015-01-29,181.01
2015-01-30,180.85
2015-02-02,179.68
2015-02-03,180.32
2015-02-04,180.77
2015-02-05,180.77
2015-02-06,179.89
2015-02-09,179.59
2015-02-10,178.24
2015-02-11,178.27
2015-02-12,177.71
2015-02-13,179.09
2015-02-24,181.04
2015-02-25,181.7
2015-02-26,182.22
2015-03-02,182.54
2015-03-03,182.98
2015-03-04,183.47
2015-03-05,185.06
2015-03-06,186.56
2015-03-09,187.12
2015-03-10,186.28
2015-03-11,185.9
2015-03-12,187.32
2015-03-13,187.66
2015-03-16,187.71
2015-03-17,187.62
2015-03-18,188.66
2015-03-19,189.78
2015-03-20,192.04
2015-03-23,191.49
2015-03-24,190.9
2015-03-25,189.17
2015-03-26,188.52
2015-03-27,186.93
2015-03-30,184.68
2015-03-31,186.6
2015-04-01,185.68
2015-04-02,187.06
2015-04-07,188.61
2015-04-08,188.26
2015-04-09,186.5
2015-04-10,187.2
2015-04-13,188.36
2015-04-14,189.27
2015-04-15,188.6
2015-04-16,189.63
2015-04-17,188.0
2015-04-20,186.83
2015-04-21,184.0
2015-04-22,185.69
2015-04-23,187.44
2015-04-24,187.34
2015-04-27,189.75
2015-04-28,189.56
2015-04-29,188.12
2015-04-30,188.31
2015-05-04,187.88
2015-05-05,187.79
2015-05-06,188.07
2015-05-07,185.44
2015-05-08,183.65
2015-05-11,179.92
2015-05-12,180.34
2015-05-13,181.78
2015-05-14,181.4
2015-05-15,180.33
2015-05-18,178.06
2015-05-19,180.26
2015-05-20,181.18
2015-05-21,180.71
2015-05-22,181.62
2015-05-25,182.81
2015-05-26,182.87
2015-05-27,184.94
2015-05-28,186.49
