date,idx
2014-01-02,130.7
2014-01-03,131.04
2014-01-06,130.28
2014-01-07,131.34
2014-01-08,131.85
2014-01-09,130.64
2014-01-10,130.74
2014-01-13,130.05
2014-01-14,129.66
2014-01-15,130.47
2014-01-16,130.67
2014-01-17,130.58
2014-01-20,131.01
2014-01-21,130.6
2014-01-22,131.07
2014-01-23,131.18
2014-01-24,130.52
2014-01-27,128.66
2014-02-05,128.66
2014-02-06,130.83
2014-02-07,131.88
2014-02-10,132.09
2014-02-11,133.21
2014-02-12,134.36
2014-02-13,134.6
2014-02-14,134.05
2014-02-17,134.67
2014-02-18,135.61
2014-02-19,136.5
2014-02-20,136.35
2014-02-21,138.32
2014-02-24,138.99
2014-02-25,139.9
2014-02-26,140.64
2014-02-27,141.13
2014-03-03,141.71
2014-03-04,141.6
2014-03-05,143.48
2014-03-06,145.3
2014-03-07,142.96
2014-03-10,143.07
2014-03-11,144.49
2014-03-12,144.73
2014-03-13,146.22
2014-03-14,146.07
2014-03-17,146.8
2014-03-18,147.51
2014-03-19,145.36
2014-03-20,143.46
2014-03-21,142.4
2014-03-24,140.94
2014-03-25,143.99
2014-03-26,144.55
2014-03-27,144.75
2014-03-28,143.01
2014-03-31,144.5
2014-04-01,145.73
2014-04-02,147.2
2014-04-03,147.59
2014-04-07,147.1
2014-04-08,147.36
2014-04-09,148.0
2014-04-10,147.34
2014-04-11,145.04
2014-04-14,141.49
2014-04-15,143.6
2014-04-16,144.01
2014-04-17,145.09
2014-04-18,145.35
2014-04-21,145.89
2014-04-22,146.42
2014-04-23,145.87
2014-04-24,145.13
2014-04-25,140.36
2014-04-28,140.75
2014-04-29,143.2
2014-04-30,140.64
2014-05-02,142.82
2014-05-05,144.16
2014-05-06,145.17
2014-05-07,145.54
2014-05-08,145.19
2014-05-09,143.44
2014-05-12,141.68
2014-05-13,140.56
2014-05-14,141.11
2014-05-15,141.7
2014-05-16,141.75
2014-05-19,142.87
2014-05-20,143.02
2014-05-21,142.65
2014-05-22,144.53
2014-05-23,146.04
2014-05-26,147.35
2014-05-27,148.43
2014-05-28,149.15
2014-05-29,149.17
2014-05-30,149.78
2014-06-03,149.56
2014-06-04,150.21
2014-06-05,151.23
2014-06-06,151.44
2014-06-09,152.01
2014-06-10,152.14
2014-06-11,152.43
2014-06-12,152.3
2014-06-13,152.32
2014-06-16,152.64
2014-06-17,153.01
2014-06-18,151.31
2014-06-19,152.45
2014-06-20,152.66
2014-06-23,150.04
2014-06-24,150.21
2014-06-25,151.17
2014-06-26,152.38
2014-06-27,152.11
2014-06-30,153.55
2014-07-01,154.06
2014-07-02,152.54
2014-07-03,153.88
2014-07-04,153.13
2014-07-07,151.84
2014-07-08,152.15
2014-07-09,152.31
2014-07-10,152.65
2014-07-11,148.56
2014-07-14,149.51
2014-07-15,150.44
2014-07-16,148.86
2014-07-17,148.16
2014-07-18,147.84
2014-07-21,148.58
2014-07-22,148.98
2014-07-24,149.88
2014-07-25,148.31
2014-07-28,145.65
2014-07-29,143.66
2014-07-30,144.28
2014-07-31,144.44
2014-08-01,143.45
2014-08-04,144.66
2014-08-05,143.26
2014-08-06,139.86
2014-08-07,137.81
2014-08-08,137.46
2014-08-11,139.74
2014-08-12,138.8
2014-08-13,139.43
2014-08-14,138.55
2014-08-15,137.48
2014-08-18,134.36
2014-08-19,135.98
2014-08-20,135.08
2014-08-21,134.53
2014-08-22,136.79
2014-08-25,137.83
2014-08-26,139.22
2014-08-27,140.1
2014-08-28,139.85
2014-08-29,140.64
2014-09-01,142.03
2014-09-02,140.86
2014-09-03,140.67
2014-09-04,140.53
2014-09-05,141.13
2014-09-09,141.35
2014-09-10,141.22
2014-09-11,140.41
2014-09-12,138.96
2014-09-15,138.89
2014-09-16,138.33
2014-09-17,139.43
2014-09-18,140.25
2014-09-19,141.52
2014-09-22,140.75
2014-09-23,140.01
2014-09-24,139.74
2014-09-25,137.98
2014-09-26,137.56
2014-09-29,139.0
2014-09-30,138.54
2014-10-01,139.24
2014-10-02,139.79
2014-10-03,141.29
2014-10-06,142.07
2014-10-07,140.47
2014-10-08,138.52
2014-10-09,136.49
2014-10-13,130.48
2014-10-14,131.16
2014-10-15,129.27
2014-10-16,128.45
2014-10-17,126.0
2014-10-20,127.49
2014-10-21,128.2
2014-10-22,128.82
