pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-29,6141,柏承科技股份有限公司,TWSE,46.0,3.0608,0.354,0.0,1
2026-05-29,2426,鼎元光電科技股份有限公司,TWSE,81.2,3.0269,0.704,-0.0229,2
2026-05-29,5228,鈺鎧科技股份有限公司,OTC,64.0,2.0019,0.819,0.0,3
2026-05-29,5464,霖宏科技股份有限公司,OTC,83.0,2.0005,0.415,0.0,4
2026-05-29,7709,榮田精機股份有限公司,OTC,109.1,1.882,0.602,0.0,5
2026-05-29,2472,立隆電子工業股份有限公司,TWSE,371.0,1.7398,0.975,0.0,6
2026-05-29,3577,泓格科技股份有限公司,OTC,157.5,1.7084,0.42,-0.0217,7
2026-05-29,2367,燿華電子股份有限公司,TWSE,68.1,1.6916,0.728,-0.1292,8
2026-05-29,2303,聯華電子股份有限公司,TWSE,142.07,1.5422,0.999,0.0,9
2026-05-29,4127,天良生物科技企業股份有限公司,OTC,69.0,1.5088,0.277,-0.0014,10
2026-05-29,3675,德微科技股份有限公司,OTC,413.0,1.4702,0.947,0.0,11
2026-05-29,3042,台灣晶技股份有限公司,TWSE,211.25,1.4549,0.668,-0.0092,12
2026-05-29,6224,聚鼎科技股份有限公司,TWSE,95.0,1.4059,0.5,0.0,13
2026-05-29,8039,台虹科技股份有限公司,TWSE,159.65,1.3955,0.708,0.0,14
2026-05-29,2061,風青實業股份有限公司,OTC,36.3,1.3539,0.375,0.0,15
2026-05-29,6207,雷科股份有限公司,OTC,111.5,1.3465,0.581,0.0,16
2026-05-29,5864,致和證券股份有限公司,OTC,38.32,1.3033,0.866,0.0,17
2026-05-29,4916,事欣科技股份有限公司,TWSE,112.5,1.2355,0.75,0.0,18
2026-05-29,1568,倉佑實業股份有限公司,TWSE,45.35,1.1925,0.524,0.0,19
2026-05-29,8162,微矽電子股份有限公司,TWSE,71.92,1.1796,0.57,-0.0455,20
2026-05-29,6642,富致科技股份有限公司,OTC,90.8,1.1794,0.086,-0.012,21
2026-05-29,6902,走著瞧股份有限公司,TWSE,143.0,1.1678,0.119,0.0,22
