pick_date,code,name,market,close,alpha120,beta120,d240h,rev_accel,rank
2026-07-08,2484,希華晶體科技股份有限公司,TWSE,92.3,2.8328,0.848,-0.0425,0.0284,1
2026-07-08,2061,風青實業股份有限公司,OTC,83.0,2.7108,0.759,0.0,,2
2026-07-08,4556,旭然國際股份有限公司,OTC,92.7,2.6319,0.572,0.0,,3
2026-07-08,4707,磐亞股份有限公司,OTC,37.95,2.5951,0.41,0.0,,4
2026-07-08,6226,光鼎電子股份有限公司,TWSE,25.25,2.563,0.448,-0.0525,,5
2026-07-08,8261,富鼎先進電子股份有限公司,TWSE,348.0,2.2617,0.865,-0.0114,,6
2026-07-08,6949,沛爾生技醫藥股份有限公司,TWSE,960.0,2.2209,0.337,0.0,,7
2026-07-08,6672,騰輝電子國際集團股份有限公司,TWSE,306.0,2.1206,0.82,-0.0286,,8
2026-07-08,6446,藥華醫藥股份有限公司,TWSE,1530.0,2.0848,0.496,0.0,,9
2026-07-08,4127,天良生物科技企業股份有限公司,OTC,79.5,2.0344,0.209,0.0,,10
2026-07-08,6174,安碁科技股份有限公司,OTC,61.2,1.8936,0.675,-0.0286,,11
2026-07-08,6525,捷敏股份有限公司,TWSE,199.0,1.7805,0.608,-0.0995,,12
2026-07-08,3066,李洲科技股份有限公司,OTC,29.0,1.4711,0.443,-0.0397,,13
2026-07-08,3055,蔚華科技股份有限公司,TWSE,168.5,1.3205,0.676,-0.0426,-1.0395,14
2026-07-08,4923,力士科技股份有限公司,OTC,66.5,1.3021,0.822,0.0,,15
2026-07-08,8926,台灣汽電共生股份有限公司,TWSE,77.7,1.2587,0.258,-0.0407,,16
2026-07-08,6574,霈方國際股份有限公司,OTC,122.5,1.1916,0.302,-0.0993,,17
2026-07-08,6197,佳必琪國際股份有限公司,TWSE,369.0,1.1666,0.881,-0.0094,,18
2026-07-08,2103,台橡股份有限公司,TWSE,23.8,1.0602,0.138,-0.0345,0.3856,19
2026-07-08,6573,虹揚發展科技股份有限公司,TWSE,27.55,1.0296,0.514,-0.0018,,20
2026-07-08,8016,矽創電子股份有限公司,TWSE,352.0,0.9951,0.69,0.0,,21
2026-07-08,8109,博大科技股份有限公司,OTC,155.5,0.9528,0.179,-0.0372,,22
2026-07-08,2434,統懋半導體股份有限公司,TWSE,56.5,0.9105,0.516,-0.0208,-0.0692,23
2026-07-08,4163,鐿鈦科技股份有限公司,OTC,136.0,0.9094,0.126,0.0,,24
2026-07-08,2221,大甲永和機械工業股份有限公司,OTC,49.0,0.849,0.381,-0.072,,25
2026-07-08,2883,凱基金融控股股份有限公司,TWSE,30.7,0.8474,0.522,0.0,1.5,26
2026-07-08,5489,彩富電子股份有限公司,OTC,65.0,0.839,0.281,-0.0413,,27
2026-07-08,2601,益航股份有限公司,TWSE,7.55,0.8312,0.019,0.0,-0.3434,28
2026-07-08,2885,元大金融控股股份有限公司,TWSE,71.5,0.8251,0.521,0.0,1.5,29
2026-07-08,6617,共信醫藥科技控股股份有限公司,OTC,117.5,0.8233,0.148,0.0,,30
2026-07-08,2887,台新新光金融控股股份有限公司,TWSE,35.85,0.8075,0.401,0.0,0.1288,31
2026-07-08,3230,錦明實業股份有限公司,OTC,52.0,0.8058,0.248,-0.2121,,32
2026-07-08,5471,松翰科技股份有限公司,TWSE,62.9,0.7041,0.937,-0.0141,,33
2026-07-08,6547,高端疫苗生物製劑股份有限公司,OTC,47.5,0.6981,0.008,-0.2213,,34
2026-07-08,1515,力山工業股份有限公司,TWSE,41.5,0.6733,0.464,-0.0292,-0.1011,35
2026-07-08,6579,研揚科技股份有限公司,TWSE,172.5,0.6473,0.576,-0.0363,,36
2026-07-08,3094,聯傑國際股份有限公司,TWSE,42.5,0.551,0.954,-0.0608,0.119,37
2026-07-08,3022,威強電工業電腦股份有限公司,TWSE,94.3,0.5443,0.387,0.0,1.0255,38
2026-07-08,5488,松普科技股份有限公司,OTC,14.75,0.526,0.501,-0.0453,,39
2026-07-08,8033,雷虎科技股份有限公司,TWSE,227.5,0.5124,0.701,0.0,,40
2026-07-08,2458,義隆電子股份有限公司,TWSE,186.0,0.5109,0.697,-0.0159,0.0531,41
2026-07-08,6491,晶碩光學股份有限公司,TWSE,375.0,0.5056,0.172,-0.0079,,42
2026-07-08,5276,達輝股份有限公司,OTC,19.75,0.478,0.093,-0.1104,,43
2026-07-08,2645,長榮航太科技股份有限公司,TWSE,235.5,0.474,0.756,-0.0105,-0.012,44
2026-07-08,1810,和成欣業股份有限公司,TWSE,24.45,0.4585,0.419,0.0,0.0082,45
2026-07-08,6620,漢達生技醫藥股份有限公司,OTC,109.0,0.4514,0.262,-0.2533,,46
2026-07-08,6901,鑽石生技投資股份有限公司,TWSE,21.05,0.4476,0.291,-0.0024,,47
2026-07-08,9949,琉園股份有限公司,OTC,28.8,0.442,0.125,-0.2153,,48
2026-07-08,6146,耕興股份有限公司,OTC,213.0,0.4237,0.425,-0.0539,,49
2026-07-08,2466,冠西電子企業股份有限公司,TWSE,96.9,0.4137,0.729,0.0,-0.0535,50
2026-07-08,2890,永豐金融控股股份有限公司,TWSE,41.9,0.406,0.46,0.0,0.5263,51
2026-07-08,2850,新光產物保險股份有限公司,TWSE,146.0,0.4026,0.233,-0.0102,0.2921,52
2026-07-08,2332,友訊科技股份有限公司,TWSE,21.9,0.3985,0.604,0.0,0.1465,53
2026-07-08,2891,中國信託金融控股股份有限公司,TWSE,71.3,0.3951,0.435,-0.0152,0.4156,54
2026-07-08,8932,智通科創股份有限公司,OTC,119.5,0.38,0.528,0.0,,55
2026-07-08,3672,康聯訊科技股份有限公司,OTC,13.8,0.3411,0.02,-0.2023,,56
2026-07-08,3176,基亞生物科技股份有限公司,OTC,37.6,0.332,0.138,-0.0529,,57
2026-07-08,4771,望隼科技股份有限公司,TWSE,212.0,0.324,0.196,-0.014,,58
2026-07-08,1256,鮮活控股股份有限公司,TWSE,199.5,0.3191,0.507,-0.0477,-0.0846,59
2026-07-08,2377,微星科技股份有限公司,TWSE,142.0,0.3153,0.681,-0.047,-0.3554,60
2026-07-08,3034,聯詠科技股份有限公司,TWSE,544.0,0.3137,0.669,-0.0406,0.181,61
2026-07-08,6024,群益期貨股份有限公司,TWSE,64.4,0.3092,0.222,0.0,,62
